number, name, team
11, LAMPAERT Yves, Deceuninck - Quick Step
12, BENNETT Sam, Deceuninck - Quick Step
13, BALLERINI Davide, Deceuninck - Quick Step
14, MØRKØV Michael, Deceuninck - Quick Step
15, STEELS Stijn, Deceuninck - Quick Step
16, ŠTYBAR Zdeněk, Deceuninck - Quick Step
17, VAN LERBERGHE Bert, Deceuninck - Quick Step
DS: PEETERS Wilfried,, Deceuninck - Quick Step
21, GILBERT Philippe, Lotto Soudal
22, DEGENKOLB John, Lotto Soudal
23, FRISON Frederik, Lotto Soudal
24, DE BUYST Jasper, Lotto Soudal
25, VAN MOER Brent, Lotto Soudal
26, KLUGE Roger, Lotto Soudal
27, VERMEERSCH Florian, Lotto Soudal
DS: FRISON Herman,, Lotto Soudal
31, KOCH Jonas, Intermarché - Wanty - Gobert Matériaux
32, VAN DER HOORN Taco, Intermarché - Wanty - Gobert Matériaux
33, DE GENDT Aimé, Intermarché - Wanty - Gobert Matériaux
34, VAN POPPEL Boy, Intermarché - Wanty - Gobert Matériaux
35, VAN POPPEL Danny, Intermarché - Wanty - Gobert Matériaux
36, VANSPEYBROUCK Pieter, Intermarché - Wanty - Gobert Matériaux
37, VLIEGEN Loïc, Intermarché - Wanty - Gobert Matériaux
DS: VAN DER SCHUEREN Hilaire,, Intermarché - Wanty - Gobert Matériaux
41, VAN AVERMAET Greg, AG2R Citroën Team
42, NAESEN Oliver, AG2R Citroën Team
43, DEWULF Stan, AG2R Citroën Team
44, VAN HOECKE Gijs, AG2R Citroën Team
45, SCHÄR Michael, AG2R Citroën Team
46, TOUZÉ Damien, AG2R Citroën Team
47, DUVAL Julien, AG2R Citroën Team
DS: JURDIE Julien,, AG2R Citroën Team
51, VAN AERT Wout, Team Jumbo-Visma
52, EENKHOORN Pascal, Team Jumbo-Visma
53, ROOSEN Timo, Team Jumbo-Visma
54, AFFINI Edoardo, Team Jumbo-Visma
55, VAN EMDEN Jos, Team Jumbo-Visma
56, VAN HOOYDONCK Nathan, Team Jumbo-Visma
57, WYNANTS Maarten, Team Jumbo-Visma
DS: BOVEN Jan,, Team Jumbo-Visma
61, POLITT Nils, BORA - hansgrohe
