number, name, team
1, CARAPAZ Richard,INEOS Grenadiers
2, DENNIS Rohan,INEOS Grenadiers
3, GOŁAŚ Michał,INEOS Grenadiers
4, HENAO Sebastián,INEOS Grenadiers
5, SIVAKOV Pavel,INEOS Grenadiers
6, DUNBAR Eddie,INEOS Grenadiers
7, ROWE Luke,INEOS Grenadiers
DS: ZANDIO Xabier,KNEES Christian,,INEOS Grenadiers
11, ALAPHILIPPE Julian,Deceuninck - Quick Step
12, CATTANEO Mattia,Deceuninck - Quick Step
13, DECLERCQ Tim,Deceuninck - Quick Step
14, DEVENYNS Dries,Deceuninck - Quick Step
15, HODEG Álvaro José,Deceuninck - Quick Step
16, STEIMLE Jannik,Deceuninck - Quick Step
17, VANSEVENANT Mauri,Deceuninck - Quick Step
DS: VAN BONDT Geert,VAN SLYCKE Rik,,Deceuninck - Quick Step
21, DUMOULIN Tom,Team Jumbo-Visma
22, LEEMREIZE Gijs,Team Jumbo-Visma
23, OOMEN Sam,Team Jumbo-Visma
24, PFINGSTEN Christoph,Team Jumbo-Visma
25, TEUNISSEN Mike,Team Jumbo-Visma
26, TOLHOEK Antwan,Team Jumbo-Visma
27, VAN HOOYDONCK Nathan,Team Jumbo-Visma
DS: ENGELS Addy,MAASSEN Frans,,Team Jumbo-Visma
31, HIRSCHI Marc,UAE-Team Emirates
32, GIBBONS Ryan,UAE-Team Emirates
33, COSTA Rui,UAE-Team Emirates
34, MOLANO Juan Sebastián,UAE-Team Emirates
35, DE LA CRUZ David,UAE-Team Emirates
36, MUÑOZ Cristian Camilo,UAE-Team Emirates
37, TROIA Oliviero,UAE-Team Emirates
DS: GUIDI Fabrizio,PEDRAZZINI Simone,,UAE-Team Emirates
41, VAN DER POEL Mathieu,Alpecin-Fenix
42, DILLIER Silvan,Alpecin-Fenix
43, MEURISSE Xandro,Alpecin-Fenix
44, DE TIER Floris,Alpecin-Fenix
45, TULETT Ben,Alpecin-Fenix
46, VAKOČ Petr,Alpecin-Fenix
47, VERGAERDE Otto,Alpecin-Fenix
DS: WILLEMS Frederik,ROODHOOFT Christoph,,Alpecin-Fenix
51, SCHACHMANN Maximilian,BORA - hansgrohe
52, MEEUS Jordi,BORA - hansgrohe
53, PALZER Anton,BORA - hansgrohe
54, FABBRO Matteo,BORA - hansgrohe
55, BURGHARDT Marcus,BORA - hansgrohe
56, WALLS Matthew,BORA - hansgrohe
57, BODNAR Maciej,BORA - hansgrohe
DS: RADOCHLA Steffen,ZEMKE Jens,,BORA - hansgrohe
61, CONCI Nicola,Trek - Segafredo
62, EG Niklas,Trek - Segafredo
63, KAMP Alexander,Trek - Segafredo
64, KIRSCH Alex,Trek - Segafredo
65, NIBALI Antonio,Trek - Segafredo
66, THEUNS Edward,Trek - Segafredo
67, TIBERI Antonio,Trek - Segafredo
DS: BAFFI Adriano,RAST Grégory,,Trek - Segafredo
71, MÄDER Gino,Bahrain - Victorious
72, POELS Wout,Bahrain - Victorious
73, WRIGHT Fred,Bahrain - Victorious
74, CAPECCHI Eros,Bahrain - Victorious
75, PERNSTEINER Hermann,Bahrain - Victorious
76, NOVAK Domen,Bahrain - Victorious
77, WILLIAMS Stephen,Bahrain - Victorious
DS: HARRIS Tim,STEPHENS Neil,HARRIS Tim,STEPHENS Neil,,Bahrain - Victorious
81, FRANK Mathias,AG2R Citroën Team
82, JUNGELS Bob,AG2R Citroën Team
83, PETERS Nans,AG2R Citroën Team
84, COSNEFROY Benoît,AG2R Citroën Team
85, SARREAU Marc,AG2R Citroën Team
86, SCHÄR Michael,AG2R Citroën Team
87, TOUZÉ Damien,AG2R Citroën Team
DS: DESSEL Cyril,GUILLE Nicolas,,AG2R Citroën Team
91, SOLER Marc,Movistar Team
92, CARRETERO Héctor,Movistar Team
93, GARCÍA CORTINA Iván,Movistar Team
94, SAMITIER Sergio,Movistar Team
95, JACOBS Johan,Movistar Team
96, ALBA Juan Diego,Movistar Team
97, SERRANO Gonzalo,Movistar Team
DS: SCIANDRI Maximilian,GARCÍA ACOSTA José Vicente,,Movistar Team
101,BOIVIN Guillaume,Israel Start-Up Nation
102,PICCOLI James,Israel Start-Up Nation
103,WOODS Michael,Israel Start-Up Nation
104,GREIPEL André,Israel Start-Up Nation
105,HOFSTETTER Hugo,Israel Start-Up Nation
106,ZABEL Rick,Israel Start-Up Nation
107,VANMARCKE Sep,Israel Start-Up Nation
DS: DEMOL Dirk,VAN LANCKER Eric,,Israel Start-Up Nation
111,MATTHEWS Michael,Team BikeExchange
112,CHAVES Esteban,Team BikeExchange
113,DURBRIDGE Luke,Team BikeExchange
114,HAMILTON Lucas,Team BikeExchange
115,JANSEN Amund Grøndahl,Team BikeExchange
116,BAUER Jack,Team BikeExchange
117,SMITH Dion,Team BikeExchange
DS: HAYMAN Mathew,STEPHENS Brian,,Team BikeExchange
121,FUGLSANG Jakob,Astana - Premier Tech
122,DE BOD Stefan,Astana - Premier Tech
123,BOARO Manuele,Astana - Premier Tech
124,GIDICH Yevgeniy,Astana - Premier Tech
125,HOULE Hugo,Astana - Premier Tech
126,FRAILE Omar,Astana - Premier Tech
