number, name, team
1, POGAČAR Tadej,UAE-Team Emirates
2, BJERG Mikkel,UAE-Team Emirates
3, COSTA Rui,UAE-Team Emirates
4, FORMOLO Davide,UAE-Team Emirates
5, HIRSCHI Marc,UAE-Team Emirates
6, LAENGEN Vegard Stake,UAE-Team Emirates
7, MAJKA Rafał,UAE-Team Emirates
8, MCNULTY Brandon,UAE-Team Emirates
DS: HAUPTMAN Andrej,PEDRAZZINI Simone,,UAE-Team Emirates
11, ROGLIČ Primož,Team Jumbo-Visma
12, VAN AERT Wout,Team Jumbo-Visma
13, GESINK Robert,Team Jumbo-Visma
14, KRUIJSWIJK Steven,Team Jumbo-Visma
15, KUSS Sepp,Team Jumbo-Visma
16, MARTIN Tony,Team Jumbo-Visma
17, TEUNISSEN Mike,Team Jumbo-Visma
18, VINGEGAARD Jonas,Team Jumbo-Visma
DS: NIERMANN Grischa,MAASSEN Frans,,Team Jumbo-Visma
21, THOMAS Geraint,INEOS Grenadiers
22, CARAPAZ Richard,INEOS Grenadiers
23, CASTROVIEJO Jonathan,INEOS Grenadiers
24, GEOGHEGAN HART Tao,INEOS Grenadiers
25, KWIATKOWSKI Michał,INEOS Grenadiers
26, PORTE Richie,INEOS Grenadiers
27, ROWE Luke,INEOS Grenadiers
28, VAN BAARLE Dylan,INEOS Grenadiers
DS: KNAVEN Servais,RASCH Gabriel,ZANDIO Xabier,,INEOS Grenadiers
31, FROOME Chris,Israel Start-Up Nation
32, BOIVIN Guillaume,Israel Start-Up Nation
33, GOLDSTEIN Omer,Israel Start-Up Nation
34, GREIPEL André,Israel Start-Up Nation
35, HOLLENSTEIN Reto,Israel Start-Up Nation
36, MARTIN Dan,Israel Start-Up Nation
37, WOODS Michael,Israel Start-Up Nation
38, ZABEL Rick,Israel Start-Up Nation
DS: GUERRERO CELAYA Oscar,VERBRUGGHE Rik,,Israel Start-Up Nation
41, NIBALI Vincenzo,Trek - Segafredo
42, BERNARD Julien,Trek - Segafredo
43, ELISSONDE Kenny,Trek - Segafredo
44, MOLLEMA Bauke,Trek - Segafredo
45, PEDERSEN Mads,Trek - Segafredo
46, SKUJIŅŠ Toms,Trek - Segafredo
47, STUYVEN Jasper,Trek - Segafredo
48, THEUNS Edward,Trek - Segafredo
DS: ANDERSEN Kim,DE JONGH Steven,,Trek - Segafredo
51, ALAPHILIPPE Julian,Deceuninck - Quick Step
52, ASGREEN Kasper,Deceuninck - Quick Step
53, BALLERINI Davide,Deceuninck - Quick Step
54, CATTANEO Mattia,Deceuninck - Quick Step
55, CAVENDISH Mark,Deceuninck - Quick Step
56, DECLERCQ Tim,Deceuninck - Quick Step
57, DEVENYNS Dries,Deceuninck - Quick Step
58, MØRKØV Michael,Deceuninck - Quick Step
DS: STEELS Tom,PEETERS Wilfried,,Deceuninck - Quick Step
61, LÓPEZ Miguel Ángel,Movistar Team
62, ARCAS Jorge,Movistar Team
63, ERVITI Imanol,Movistar Team
64, GARCÍA CORTINA Iván,Movistar Team
65, MAS Enric,Movistar Team
66, SOLER Marc,Movistar Team
67, VALVERDE Alejandro,Movistar Team
