number, name, team
1, VALVERDE Alejandro, Movistar Team
2, MAS Enric, Movistar Team
3, CATALDO Dario, Movistar Team
4, VERONA Carlos, Movistar Team
5, SAMITIER Sergio, Movistar Team
6, PEDRERO Antonio, Movistar Team
7, SOLER Marc, Movistar Team
11, BENNETT George, Team Jumbo-Visma
12, KUSS Sepp, Team Jumbo-Visma
13, KRUIJSWIJK Steven, Team Jumbo-Visma
14, GESINK Robert, Team Jumbo-Visma
15, BOUWMAN Koen, Team Jumbo-Visma
16, TOLHOEK Antwan, Team Jumbo-Visma
17, HARPER Chris, Team Jumbo-Visma
21, ALMEIDA João, Deceuninck - Quick Step
22, MASNADA Fausto, Deceuninck - Quick Step
23, ČERNÝ Josef, Deceuninck - Quick Step
24, KNOX James, Deceuninck - Quick Step
25, DEVENYNS Dries, Deceuninck - Quick Step
26, SERRY Pieter, Deceuninck - Quick Step
27, CAVAGNA Rémi, Deceuninck - Quick Step
31, COSTA Rui, UAE-Team Emirates
32, MCNULTY Brandon, UAE-Team Emirates
33, HIRSCHI Marc, UAE-Team Emirates
34, MOLANO Juan Sebastián, UAE-Team Emirates
35, DOMBROWSKI Joe, UAE-Team Emirates
36, ARDILA Andrés Camilo, UAE-Team Emirates
37, DE LA CRUZ David, UAE-Team Emirates
41, PORTE Richie, INEOS Grenadiers
42, CARAPAZ Richard, INEOS Grenadiers
43, YATES Adam, INEOS Grenadiers
44, THOMAS Geraint, INEOS Grenadiers
45, DENNIS Rohan, INEOS Grenadiers
46, CASTROVIEJO Jonathan, INEOS Grenadiers
47, ROWE Luke, INEOS Grenadiers
51, HINDLEY Jai, Team DSM
52, STORER Michael, Team DSM
53, HAGA Chad, Team DSM
54, HAMILTON Chris, Team DSM
55, KANTER Max, Team DSM
56, ROCHE Nicolas, Team DSM
57, ARENSMAN Thymen, Team DSM
61, SAGAN Peter, BORA - hansgrohe
62, KELDERMAN Wilco, BORA - hansgrohe
63, KÄMNA Lennard, BORA - hansgrohe
64, MEEUS Jordi, BORA - hansgrohe
65, SCHELLING Ide, BORA - hansgrohe
66, ZWIEHOFF Ben, BORA - hansgrohe
67, WANDAHL Frederik, BORA - hansgrohe
71, RODRÍGUEZ Óscar, Astana - Premier Tech
72, SÁNCHEZ Luis León, Astana - Premier Tech
73, PRONSKIY Vadim, Astana - Premier Tech
74, GREGAARD Jonas, Astana - Premier Tech
75, TEJADA Harold, Astana - Premier Tech
76, DE BOD Stefan, Astana - Premier Tech
77, KUDUS Merhawi, Astana - Premier Tech
81, BRAMBILLA Gianluca, Trek - Segafredo
82, ELISSONDE Kenny, Trek - Segafredo
83, LÓPEZ Juan Pedro, Trek - Segafredo
84, CICCONE Giulio, Trek - Segafredo
85, RIES Michel, Trek - Segafredo
86, KAMP Alexander, Trek - Segafredo
87, SKJELMOSE JENSEN Mattias, Trek - Segafredo
91, VALTER Attila, Groupama - FDJ
92, BADILATTI Matteo, Groupama - FDJ
