number, name, team
1, CARAPAZ Richard,INEOS Grenadiers
2, CASTROVIEJO Jonathan,INEOS Grenadiers
3, NARVÁEZ Jhonatan,INEOS Grenadiers
4, PORTE Richie,INEOS Grenadiers
5, PUCCIO Salvatore,INEOS Grenadiers
6, SIVAKOV Pavel,INEOS Grenadiers
7, SWIFT Ben,INEOS Grenadiers
8, TULETT Ben,INEOS Grenadiers
11, VENDRAME Andrea,AG2R Citroën Team
12, CALMEJANE Lilian,AG2R Citroën Team
13, CHEREL Mikaël,AG2R Citroën Team
14, GALL Felix,AG2R Citroën Team
15, HÄNNINEN Jaakko,AG2R Citroën Team
16, NAESEN Lawrence,AG2R Citroën Team
17, PETERS Nans,AG2R Citroën Team
18, PRODHOMME Nicolas,AG2R Citroën Team
21, VAN DER POEL Mathieu,Alpecin-Fenix
22, BAYER Tobias,Alpecin-Fenix
23, DE BONDT Dries,Alpecin-Fenix
24, KRIEGER Alexander,Alpecin-Fenix
25, LEYSEN Senne,Alpecin-Fenix
26, MARECZKO Jakub,Alpecin-Fenix
27, OLDANI Stefano,Alpecin-Fenix
28, RIESEBEEK Oscar,Alpecin-Fenix
31, NIBALI Vincenzo,Astana Qazaqstan Team
32, CONTI Valerio,Astana Qazaqstan Team
33, DE LA CRUZ David,Astana Qazaqstan Team
34, DOMBROWSKI Joe,Astana Qazaqstan Team
35, FELLINE Fabio,Astana Qazaqstan Team
36, LÓPEZ Miguel Ángel,Astana Qazaqstan Team
37, PRONSKIY Vadim,Astana Qazaqstan Team
38, TEJADA Harold,Astana Qazaqstan Team
41, LANDA Mikel,Bahrain - Victorious
42, BAUHAUS Phil,Bahrain - Victorious
43, BILBAO Pello,Bahrain - Victorious
44, BUITRAGO Santiago,Bahrain - Victorious
45, NOVAK Domen,Bahrain - Victorious
46, POELS Wout,Bahrain - Victorious
47, SÜTTERLIN Jasha,Bahrain - Victorious
48, TRATNIK Jan,Bahrain - Victorious
51, ZANA Filippo,Bardiani-CSF-Faizanè
52, COVILI Luca,Bardiani-CSF-Faizanè
53, FIORELLI Filippo,Bardiani-CSF-Faizanè
54, GABBURO Davide,Bardiani-CSF-Faizanè
55, MODOLO Sacha,Bardiani-CSF-Faizanè
56, RASTELLI Luca,Bardiani-CSF-Faizanè
57, TONELLI Alessandro,Bardiani-CSF-Faizanè
58, ZOCCARATO Samuele,Bardiani-CSF-Faizanè
61, KELDERMAN Wilco,BORA - hansgrohe
62, ALEOTTI Giovanni,BORA - hansgrohe
63, BENEDETTI Cesare,BORA - hansgrohe
64, BUCHMANN Emanuel,BORA - hansgrohe
65, GAMPER Patrick,BORA - hansgrohe
66, HINDLEY Jai,BORA - hansgrohe
67, KÄMNA Lennard,BORA - hansgrohe
68, ZWIEHOFF Ben,BORA - hansgrohe
71, MARTIN Guillaume,Cofidis
72, CIMOLAI Davide,Cofidis
73, CONSONNI Simone,Cofidis
74, KREDER Wesley,Cofidis
75, PEREZ Anthony,Cofidis
76, PÉRICHON Pierre-Luc,Cofidis
77, ROCHAS Rémy,Cofidis
78, VILLELLA Davide,Cofidis
81, TESFATSION Natnael,Drone Hopper - Androni Giocattoli
82, BAIS Mattia,Drone Hopper - Androni Giocattoli
83, CEPEDA Jefferson Alexander,Drone Hopper - Androni Giocattoli
84, PONOMAR Andrii,Drone Hopper - Androni Giocattoli
85, RAVANELLI Simone,Drone Hopper - Androni Giocattoli
86, SEPÚLVEDA Eduardo,Drone Hopper - Androni Giocattoli
87, TAGLIANI Filippo,Drone Hopper - Androni Giocattoli
88, ZARDINI Edoardo,Drone Hopper - Androni Giocattoli
91, CARTHY Hugh,EF Education-EasyPost
92, CAICEDO Jonathan Klever,EF Education-EasyPost
93, CAMARGO Diego Andrés,EF Education-EasyPost
94, CARR Simon,EF Education-EasyPost
95, CORT Magnus,EF Education-EasyPost
96, DOULL Owain,EF Education-EasyPost
97, KUDUS Merhawi,EF Education-EasyPost
98, VAN DEN BERG Julius,EF Education-EasyPost
101,FORTUNATO Lorenzo,EOLO-Kometa
102,ALBANESE Vincenzo,EOLO-Kometa
103,BAIS Davide,EOLO-Kometa
104,FETTER Erik,EOLO-Kometa
105,GAVAZZI Francesco,EOLO-Kometa
106,MAESTRI Mirco,EOLO-Kometa
107,RIVI Samuele,EOLO-Kometa
109,ROSA Diego,EOLO-Kometa
111,DÉMARE Arnaud,Groupama - FDJ
112,DAVY Clément,Groupama - FDJ
