number, name, team
1, PEDERSEN Mads,Trek - Segafredo
2, BRAMBILLA Gianluca,Trek - Segafredo
3, GALLOPIN Tony,Trek - Segafredo
4, KIRSCH Alex,Trek - Segafredo
5, MOSCA Jacopo,Trek - Segafredo
6, PELLAUD Simon,Trek - Segafredo
7, SKUJIŅŠ Toms,Trek - Segafredo
11, VAN AVERMAET Greg,AG2R Citroën Team
12, COSNEFROY Benoît,AG2R Citroën Team
13, JUNGELS Bob,AG2R Citroën Team
14, CHEREL Mikaël,AG2R Citroën Team
15, VAN HOECKE Gijs,AG2R Citroën Team
16, VENDRAME Andrea,AG2R Citroën Team
17, WARBASSE Larry,AG2R Citroën Team
21, VAN DER POEL Mathieu,Alpecin-Fenix
22, DILLIER Silvan,Alpecin-Fenix
23, GOGL Michael,Alpecin-Fenix
24, OLDANI Stefano,Alpecin-Fenix
25, PHILIPSEN Jasper,Alpecin-Fenix
26, SBARAGLI Kristian,Alpecin-Fenix
27, STANNARD Robert,Alpecin-Fenix
31, MOSCON Gianni,Astana Qazaqstan Team
32, BOARO Manuele,Astana Qazaqstan Team
33, FELLINE Fabio,Astana Qazaqstan Team
34, BASSO Leonardo,Astana Qazaqstan Team
35, GIDICH Yevgeniy,Astana Qazaqstan Team
36, MARTINELLI Davide,Astana Qazaqstan Team
37, ZAKHAROV Artyom,Astana Qazaqstan Team
41, BAUHAUS Phil,Bahrain - Victorious
42, CARUSO Damiano,Bahrain - Victorious
43, MILAN Jonathan,Bahrain - Victorious
44, MOHORIČ Matej,Bahrain - Victorious
45, SÜTTERLIN Jasha,Bahrain - Victorious
46, TRATNIK Jan,Bahrain - Victorious
47, ARASHIRO Yukiya,Bahrain - Victorious
51, MODOLO Sacha,Bardiani-CSF-Faizanè
52, COVILI Luca,Bardiani-CSF-Faizanè
53, FIORELLI Filippo,Bardiani-CSF-Faizanè
54, GABBURO Davide,Bardiani-CSF-Faizanè
55, EL GOUZI Omar,Bardiani-CSF-Faizanè
56, TONELLI Alessandro,Bardiani-CSF-Faizanè
57, ZANA Filippo,Bardiani-CSF-Faizanè
,,BORA - hansgrohe
62, ALEOTTI Giovanni,BORA - hansgrohe
63, BENEDETTI Cesare,BORA - hansgrohe
64, HALLER Marco,BORA - hansgrohe
65, MULLEN Ryan,BORA - hansgrohe
66, SCHELLING Ide,BORA - hansgrohe
67, VAN POPPEL Danny,BORA - hansgrohe
71, COQUARD Bryan,Cofidis
72, CIMOLAI Davide,Cofidis
73, CONSONNI Simone,Cofidis
74, GESCHKE Simon,Cofidis
75, PÉRICHON Pierre-Luc,Cofidis
76, SAJNOK Szymon,Cofidis
77, VILLELLA Davide,Cofidis
81, MERCHAN Didier,Drone Hopper - Androni Giocattoli
82, GROSU Eduard-Michael,Drone Hopper - Androni Giocattoli
83, MARENGO Umberto,Drone Hopper - Androni Giocattoli
