number, name, team
1, GILBERT Philippe,Lotto Soudal
2, VERMEERSCH Florian,Lotto Soudal
3, BEULLENS Cedric,Lotto Soudal
4, CAMPENAERTS Victor,Lotto Soudal
5, GRIGNARD Sébastien,Lotto Soudal
6, KLUGE Roger,Lotto Soudal
7, VAN MOER Brent,Lotto Soudal
DS: MAES Nikolas,AERTS Mario,,Lotto Soudal
11, VAN DER POEL Mathieu,Alpecin-Fenix
12, DILLIER Silvan,Alpecin-Fenix
13, LEYSEN Senne,Alpecin-Fenix
14, MERLIER Tim,Alpecin-Fenix
15, VAN KEIRSBULCK Guillaume,Alpecin-Fenix
16, VERMEERSCH Gianni,Alpecin-Fenix
17, VERMOTE Julien,Alpecin-Fenix
DS: LEYSEN Bart,ROODHOOFT Christoph,,Alpecin-Fenix
21, VAN AERT Wout,Jumbo-Visma
22, AFFINI Edoardo,Jumbo-Visma
23, LAPORTE Christophe,Jumbo-Visma
24, ROOSEN Timo,Jumbo-Visma
25, TEUNISSEN Mike,Jumbo-Visma
26, VAN DIJKE Mick,Jumbo-Visma
27, VAN HOOYDONCK Nathan,Jumbo-Visma
DS: BOVEN Jan,NIERMANN Grischa,,Jumbo-Visma
31, KÜNG Stefan,Groupama - FDJ
32, ASKEY Lewis,Groupama - FDJ
33, DAVY Clément,Groupama - FDJ
34, LE GAC Olivier,Groupama - FDJ
35, LIENHARD Fabian,Groupama - FDJ
36, MADOUAS Valentin,Groupama - FDJ
37, WELTEN Bram,Groupama - FDJ
DS: GUESDON Frédéric,GAYANT Martial,,Groupama - FDJ
41, GANNA Filippo,INEOS Grenadiers
42, KWIATKOWSKI Michał,INEOS Grenadiers
43, ROWE Luke,INEOS Grenadiers
44, SHEFFIELD Magnus,INEOS Grenadiers
45, TURNER Ben,INEOS Grenadiers
46, VAN BAARLE Dylan,INEOS Grenadiers
47, WURF Cameron,INEOS Grenadiers
DS: KNAVEN Servais,CIONI Dario David,,INEOS Grenadiers
51, ASGREEN Kasper,Quick-Step Alpha Vinyl Team
52, BALLERINI Davide,Quick-Step Alpha Vinyl Team
53, DECLERCQ Tim,Quick-Step Alpha Vinyl Team
54, LAMPAERT Yves,Quick-Step Alpha Vinyl Team
55, SÉNÉCHAL Florian,Quick-Step Alpha Vinyl Team
56, STEIMLE Jannik,Quick-Step Alpha Vinyl Team
57, ŠTYBAR Zdeněk,Quick-Step Alpha Vinyl Team
DS: PEETERS Wilfried,VAN SLYCKE Rik,,Quick-Step Alpha Vinyl Team
61, MOHORIČ Matej,Bahrain - Victorious
62, ARASHIRO Yukiya,Bahrain - Victorious
63, FENG Chun Kai,Bahrain - Victorious
64, PRICE-PEJTERSEN Johan,Bahrain - Victorious
65, SÜTTERLIN Jasha,Bahrain - Victorious
66, TEUNS Dylan,Bahrain - Victorious
67, WRIGHT Fred,Bahrain - Victorious
DS: POITSCHKE Enrico,MIHOLJEVIĆ Vladimir,,Bahrain - Victorious
71, PEDERSEN Mads,Trek - Segafredo
72, HOOLE Daan,Trek - Segafredo
73, KIRSCH Alex,Trek - Segafredo
74, SKUJIŅŠ Toms,Trek - Segafredo
75, STUYVEN Jasper,Trek - Segafredo
76, THEUNS Edward,Trek - Segafredo
77, VERGAERDE Otto,Trek - Segafredo
DS: DE JONGH Steven,ANDERSEN Kim,,Trek - Segafredo
81, VAN AVERMAET Greg,AG2R Citroën Team
82, DEWULF Stan,AG2R Citroën Team
83, NAESEN Oliver,AG2R Citroën Team
85, RAUGEL Antoine,AG2R Citroën Team
86, SCHÄR Michael,AG2R Citroën Team
87, TOUZÉ Damien,AG2R Citroën Team
88, VAN HOECKE Gijs,AG2R Citroën Team
