number, name, team
1, POGAČAR Tadej,UAE Team Emirates
2, ACKERMANN Pascal,UAE Team Emirates
3, BJERG Mikkel,UAE Team Emirates
4, FORMOLO Davide,UAE Team Emirates
5, MAJKA Rafał,UAE Team Emirates
6, RICHEZE Maximiliano,UAE Team Emirates
7, SOLER Marc,UAE Team Emirates
11, VAN AVERMAET Greg,AG2R Citroën Team
12, BOUCHARD Geoffrey,AG2R Citroën Team
13, CALMEJANE Lilian,AG2R Citroën Team
14, COSNEFROY Benoît,AG2R Citroën Team
15, JUNGELS Bob,AG2R Citroën Team
16, SCHÄR Michael,AG2R Citroën Team
17, VENDRAME Andrea,AG2R Citroën Team
21, MERLIER Tim,Alpecin-Fenix
22, GOGL Michael,Alpecin-Fenix
23, MEURISSE Xandro,Alpecin-Fenix
24, OLDANI Stefano,Alpecin-Fenix
25, PLANCKAERT Edward,Alpecin-Fenix
26, STANNARD Robert,Alpecin-Fenix
27, VERMEERSCH Gianni,Alpecin-Fenix
31, LÓPEZ Miguel Ángel,Astana Qazaqstan Team
32, BASSO Leonardo,Astana Qazaqstan Team
33, BOARO Manuele,Astana Qazaqstan Team
34, MARTINELLI Davide,Astana Qazaqstan Team
35, MOSCON Gianni,Astana Qazaqstan Team
36, TEJADA Harold,Astana Qazaqstan Team
37, VELASCO Simone,Astana Qazaqstan Team
41, CARUSO Damiano,Bahrain - Victorious
42, BAUHAUS Phil,Bahrain - Victorious
43, BILBAO Pello,Bahrain - Victorious
44, HAUSSLER Heinrich,Bahrain - Victorious
45, LANDA Mikel,Bahrain - Victorious
46, TRATNIK Jan,Bahrain - Victorious
47, SÜTTERLIN Jasha,Bahrain - Victorious
51, VISCONTI Giovanni,Bardiani-CSF-Faizanè
52, CAÑAVERAL Johnatan,Bardiani-CSF-Faizanè
53, FIORELLI Filippo,Bardiani-CSF-Faizanè
54, GABBURO Davide,Bardiani-CSF-Faizanè
55, MODOLO Sacha,Bardiani-CSF-Faizanè
56, RASTELLI Luca,Bardiani-CSF-Faizanè
57, TONELLI Alessandro,Bardiani-CSF-Faizanè
61, KELDERMAN Wilco,BORA - hansgrohe
62, BENEDETTI Cesare,BORA - hansgrohe
63, BUCHMANN Emanuel,BORA - hansgrohe
64, FABBRO Matteo,BORA - hansgrohe
65, HALLER Marco,BORA - hansgrohe
66, HINDLEY Jai,BORA - hansgrohe
67, MEEUS Jordi,BORA - hansgrohe
71, THOMAS Benjamin,Cofidis
,,Cofidis
73, CIMOLAI Davide,Cofidis
74, CONSONNI Simone,Cofidis
