number, name, team
1, POGAČAR Tadej,UAE Team Emirates
2, ACKERMANN Pascal,UAE Team Emirates
3, ALMEIDA João,UAE Team Emirates
4, BENNETT George,UAE Team Emirates
5, BJERG Mikkel,UAE Team Emirates
6, MAJKA Rafał,UAE Team Emirates
7, RICHEZE Maximiliano,UAE Team Emirates
11, JUNGELS Bob,AG2R Citroën Team
12, BERTHET Clément,AG2R Citroën Team
13, BOUCHARD Geoffrey,AG2R Citroën Team
14, LAPEIRA Paul,AG2R Citroën Team
,,AG2R Citroën Team
16, VENTURINI Clément,AG2R Citroën Team
17, SARREAU Marc,AG2R Citroën Team
21, PHILIPSEN Jasper,Alpecin-Fenix
22, RICKAERT Jonas,Alpecin-Fenix
23, SBARAGLI Kristian,Alpecin-Fenix
24, STANNARD Robert,Alpecin-Fenix
25, THWAITES Scott,Alpecin-Fenix
26, VERMEERSCH Gianni,Alpecin-Fenix
,,Alpecin-Fenix
31, DE LA CRUZ David,Astana Qazaqstan Team
32, DE BOD Stefan,Astana Qazaqstan Team
33, GIDICH Yevgeniy,Astana Qazaqstan Team
34, HENAO Sebastián,Astana Qazaqstan Team
35, NATAROV Yuriy,Astana Qazaqstan Team
36, PRONSKIY Vadim,Astana Qazaqstan Team
37, ZAKHAROV Artyom,Astana Qazaqstan Team
41, MÄDER Gino,Bahrain - Victorious
42, BILBAO Pello,Bahrain - Victorious
43, MACIEJUK Filip,Bahrain - Victorious
44, MILAN Jonathan,Bahrain - Victorious
45, OSORIO Alejandro,Bahrain - Victorious
46, PERNSTEINER Hermann,Bahrain - Victorious
47, PRICE-PEJTERSEN Johan,Bahrain - Victorious
51, CAÑAVERAL Johnatan,Bardiani-CSF-Faizanè
52, COVILI Luca,Bardiani-CSF-Faizanè
53, MODOLO Sacha,Bardiani-CSF-Faizanè
54, RASTELLI Luca,Bardiani-CSF-Faizanè
55, TONELLI Alessandro,Bardiani-CSF-Faizanè
,,Bardiani-CSF-Faizanè
57, ZOCCARATO Samuele,Bardiani-CSF-Faizanè
61, HINDLEY Jai,BORA - hansgrohe
62, ARCHBOLD Shane,BORA - hansgrohe
63, BENNETT Sam,BORA - hansgrohe
64, KONRAD Patrick,BORA - hansgrohe
65, MULLEN Ryan,BORA - hansgrohe
66, VAN POPPEL Danny,BORA - hansgrohe
67, VLASOV Aleksandr,BORA - hansgrohe
71, GUERREIRO Ruben,EF Education-EasyPost
72, BISSEGGER Stefan,EF Education-EasyPost
73, KUDUS Merhawi,EF Education-EasyPost
